bucket,failure_rate,avg_throughput,avg_execution_time_ms,n
0,0.1481818181818182,1446.2944727272727,427.5084636363636,1100
1,0.15909090909090906,1453.4784272727272,427.1737818181818,1100
2,0.1581818181818182,1436.6834181818183,429.06204545454545,1100
3,0.1554545454545454,1457.9547454545454,425.22771818181815,1100
4,0.1354545454545455,1465.493590909091,425.82719090909086,1100
5,0.1481818181818182,1449.057590909091,429.2948727272727,1100
6,0.14,1452.4504,427.4967454545454,1100
7,0.13454545454545452,1449.6960363636363,429.9345909090909,1100
8,0.1427272727272727,1443.7604636363637,430.1276909090909,1100
9,0.15727272727272723,1434.4296000000002,431.8374090909091,1100
10,0.14909090909090905,1466.8879545454545,424.1473818181818,1100
11,0.15454545454545454,1450.1525272727274,428.84536363636363,1100
12,0.1527272727272727,1458.2614636363637,424.6817090909091,1100
13,0.1709090909090909,1458.0472363636363,428.5478181818182,1100
14,0.11818181818181817,1472.665209090909,424.5336909090909,1100
15,0.14636363636363636,1448.4586636363636,429.8327636363636,1100
16,0.15090909090909088,1450.1995636363636,429.10525454545456,1100
17,0.1527272727272727,1454.0998818181818,425.1001090909091,1100
18,0.15636363636363637,1435.212618181818,432.6468454545455,1100
19,0.14636363636363636,1466.457990909091,424.96637272727276,1100
20,0.13090909090909086,1456.5758454545453,427.8258,1100
21,0.15636363636363637,1440.1682727272728,426.9809363636364,1100
22,0.1427272727272727,1456.223527272727,423.9871272727273,1100
23,0.1527272727272727,1461.4766272727272,426.65821818181814,1100
24,0.1581818181818182,1442.3303090909092,427.29206363636365,1100
25,0.16000000000000003,1454.0881181818181,427.69192727272724,1100
26,0.13181818181818183,1451.0783909090908,424.5412181818182,1100
27,0.17454545454545456,1446.2785909090908,429.23371818181823,1100
28,0.15909090909090906,1458.1288363636363,425.93372727272725,1100
29,0.1681818181818182,1450.7318545454546,427.19100909090906,1100
30,0.14363636363636367,1457.6763545454546,426.12338181818177,1100
31,0.15181818181818185,1442.9455090909091,430.2690090909091,1100
32,0.1581818181818182,1446.9803000000002,428.7501,1100
33,0.15454545454545454,1446.9523454545456,427.8729727272727,1100
34,0.15636363636363637,1444.5282181818181,428.72049090909087,1100
35,0.14,1458.1893,424.63048181818186,1100
36,0.1481818181818182,1456.051118181818,425.7739181818182,1100
37,0.14909090909090905,1463.205790909091,425.83634545454544,1100
38,0.1481818181818182,1456.3250727272728,428.2381909090909,1100
39,0.16727272727272724,1457.954872727273,424.09167272727274,1100
40,0.14727272727272722,1453.1459454545454,427.2217272727273,1100
41,0.1654545454545454,1448.0828454545453,427.33202727272726,1100
42,0.13454545454545452,1446.2105272727274,429.9596,1100
43,0.13363636363636366,1448.6149181818182,427.11572727272727,1100
44,0.1527272727272727,1442.7282,428.5803909090909,1100
45,0.15727272727272723,1462.0227363636363,423.4508181818182,1100
46,0.15181818181818185,1430.601490909091,431.6518909090909,1100
47,0.14,1459.9970272727273,424.52127272727273,1100
48,0.14636363636363636,1436.6728727272728,430.5586909090909,1100
49,0.16181818181818186,1457.6633363636363,427.11101818181817,1100
